Book	Reference	ID	Quote	Occurrence
1CO	3:10	a69q	ὡς σοφὸς ἀρχιτέκτων θεμέλιον ἔθηκα, ἄλλος δὲ ἐποικοδομεῖ. ἕκαστος δὲ βλεπέτω, πῶς ἐποικοδομεῖ.	1
1CO	4:7	p0hg	ἔλαβες & λαβών	2
1CO	4:15	m9ek	ἐν & Χριστῷ Ἰησοῦ	2
1CO	5:7	b8fi	ἐκκαθάρατε τὴν παλαιὰν ζύμην, ἵνα ἦτε νέον φύραμα, καθώς ἐστε ἄζυμοι. καὶ γὰρ τὸ Πάσχα ἡμῶν ἐτύθη, Χριστός	1
1CO	7:27	cgc7	μὴ ζήτει λύσιν. λέλυσαι ἀπὸ γυναικός	1
1CO	7:36	t87y	he is acting improperly toward	0
1CO	7:37	ta66	But if he is standing firm in his heart	0
1CO	11:3	scbp	κεφαλὴ & γυναικὸς ὁ ἀνήρ	2
1CO	12:13	r9hm	εἴτε & δοῦλοι, εἴτε ἐλεύθεροι	3
1CO	14:33	k0ma	εἰρήνης. ὡς ἐν πάσαις ταῖς ἐκκλησίαις τῶν ἁγίων,	1
1CO	15:51	c8oh	πάντες & ἀλλαγησόμεθα	2
1CO	15:51	k5dw	πάντες & ἀλλαγησόμεθα	2
1CO	15:55	z5dn	ποῦ σου & τὸ κέντρον	2
1CO	15:56	pf4e	ἡ & δύναμις τῆς ἁμαρτίας ὁ νόμος	2
1JN	2:7	vz9w	ἀπ' ἀρχῆς.	1
1PE	1:24	e299	πᾶσα σὰρξ ὡς χόρτος, καὶ πᾶσα δόξα αὐτῆς ὡς ἄνθος χόρτου. ἐξηράνθη ὁ χόρτος, καὶ τὸ ἄνθος ἐξέπεσεν,	1
1PE	1:24	ysnb	ἄνθος χόρτου. ἐξηράνθη ὁ χόρτος, καὶ τὸ ἄνθος ἐξέπεσεν	1
1TH	3:9-10	pzq7	τίνα γὰρ εὐχαριστίαν δυνάμεθα τῷ Θεῷ ἀνταποδοῦναι περὶ ὑμῶν, ἐπὶ πάσῃ τῇ χαρᾷ ᾗ χαίρομεν δι’ ὑμᾶς, ἔμπροσθεν τοῦ Θεοῦ ἡμῶν. νυκτὸς καὶ ἡμέρας, ὑπέρἐκπερισσοῦ δεόμενοι εἰς τὸ ἰδεῖν ὑμῶν τὸ πρόσωπον, καὶ καταρτίσαι τὰ ὑστερήματα τῆς πίστεως ὑμῶν?	1
1TH	3:11-13	tet9	αὐτὸς δὲ ὁ Θεὸς καὶ Πατὴρ ἡμῶν, καὶ ὁ Κύριος ἡμῶν, Ἰησοῦς, κατευθύναι τὴν ὁδὸν ἡμῶν πρὸς ὑμᾶς. ὑμᾶς δὲ ὁ Κύριος πλεονάσαι καὶ περισσεύσαι τῇ ἀγάπῃ εἰς ἀλλήλους, καὶ εἰς πάντας, καθάπερ καὶ ἡμεῖς εἰς ὑμᾶς; εἰς τὸ στηρίξαι ὑμῶν τὰς καρδίας, ἀμέμπτους ἐν ἁγιωσύνῃ ἔμπροσθεν τοῦ Θεοῦ καὶ Πατρὸς ἡμῶν, ἐν τῇ παρουσίᾳ τοῦ Κυρίου ἡμῶν, Ἰησοῦ, μετὰ πάντων τῶν ἁγίων αὐτοῦ. ἀμήν!	1
1TH	5:5	ddce	πάντες & ὑμεῖς υἱοὶ φωτός ἐστε, καὶ υἱοὶ ἡμέρας. οὐκ ἐσμὲν νυκτὸς οὐδὲ σκότους	1
2CO	1:5	tg9w	περισσεύει & ἡ παράκλησις ἡμῶν	2
2CO	6:16	oc16	Θεοῦ & ζῶντος	2
2CO	10:14	ctjf	οὐ & ὑπερεκτείνομεν ἑαυτούς	2
2CO	11:22	jdq8	Ἑβραῖοί εἰσιν? κἀγώ. Ἰσραηλεῖταί εἰσιν? κἀγώ. σπέρμα Ἀβραάμ εἰσιν? κἀγώ.	1
2PE	2:21	j7s6	τῆς & ἁγίας ἐντολῆς	2
2PE	2:21	xwid	τῆς & ἁγίας ἐντολῆς	2
ACT	7:26	kyde	εἰπών, ἄνδρες, ἀδελφοί ἐστε. ἱνα τί ἀδικεῖτε ἀλλήλους?	1
ACT	11:1	f1md	οἱ & ἀδελφοὶ	2
ACT	13:27	m4tz	τὰς & ἀναγινωσκομένας	2
ACT	13:27	i6jo	τὰς & ἀναγινωσκομένας	2
ACT	28:11	jc5t	παρασήμῳ Διοσκούροι	1
ACT	28:11	a636	παρασήμῳ Διοσκούροι	1
EXO	2:11	p7gx	וַ⁠יְהִ֣י ׀ בַּ⁠יָּמִ֣ים הָ⁠הֵ֗	1
EXO	12:21	y9qt	summoned	0
EXO	15:14	qlpy	tremble	0
EXO	15:21	f6m3	גָאֹ֣ה גָּאָ֔ה	1
