Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
3:10	a69q		rc://*/ta/man/translate/figs-exmetaphor	ὡς σοφὸς ἀρχιτέκτων θεμέλιον ἔθηκα, ἄλλος δὲ ἐποικοδομεῖ. ἕκαστος δὲ βλεπέτω, πῶς ἐποικοδομεῖ.		1	Paul began using the metaphor of a house in [3:9](../03/09.md). Here he continues that metaphor by speaking about himself as a **wise master builder** who lays **a foundation**. By speaking in this way, he means that he is the one who first introduced the Corinthian believers to the gospel, just like a **master builder** first lays **a foundation**. He then speaks of people who build **{on}** that foundation, meaning that others who proclaim more about the gospel can only do this by using and continuing from the good news that Paul already proclaimed. If it would be helpful in your language, you could express this extended metaphor with a comparable metaphor or express the idea plainly. Alternate translation: “as a wise church planter, I first proclaimed the gospel to you, and another is teaching you more about that gospel, but let each one be careful how he teaches you more”
4:7	p0hg		rc://*/ta/man/translate/writing-pronouns	ἔλαβες & λαβών		2	Here, both uses of **{it}** refer back to **what** the Corinthians **have**. If your language does not use **{it}** to refer to an unstated “thing,” you can use a word or phrase that does refer clearly back to **what** the Corinthians **have**. Alternate translation: “you received everything … you did … receive everything” or “you received what you have … you did … receive what you have”
4:15	m9ek		rc://*/ta/man/translate/figs-metaphor	ἐν & Χριστῷ Ἰησοῦ		2	Here Paul uses the spatial metaphor **in Christ Jesus** to describe the union of believers with Christ. In this case, being **in Christ**, or united to Christ, could explain: (1) that the Corinthians became united to Christ when Paul preached the good news to them. Alternate translation: “when you were united to Christ Jesus” (2) Paul is their father in the Christian family, the family that is united to Christ. Alternate translation: “in the Christian family”
5:7	b8fi		rc://*/ta/man/translate/figs-explicit	ἐκκαθάρατε τὴν παλαιὰν ζύμην, ἵνα ἦτε νέον φύραμα, καθώς ἐστε ἄζυμοι. καὶ γὰρ τὸ Πάσχα ἡμῶν ἐτύθη, Χριστός		1	Just as in [5:6](../05/06.md) and [5:8](../05/08.md), Paul is thinking about the Jewish festival of **Passover**. During this festival, people would remove all the **yeast** from their houses and only bake **unleavened bread**, that is, bread that is not fermented. Additionally, a **lamb** would be sacrificed and eaten. The **lamb** would remind the people about how God had delivered them from slavery in the land of Egypt. See [Exodus 12:1–28](../exo/12/01.md). If your readers would not infer this information, you could include a footnote that explains **Passover** and how it relates to **yeast** and a **Lamb**.
7:24	jio8			General Information		0	This verse is very similar to [7:20](../07/20.md). The main difference is that this verse refers to remaining **with God**, while that verse does not. With that exception, translate this verse so that it sounds similar to [7:20](../07/20.md).
7:27	cgc7		rc://*/ta/man/translate/figs-activepassive	μὴ ζήτει λύσιν. λέλυσαι ἀπὸ γυναικός		1	If your language does not use the passive form in this way, you can express the idea in active form or in another way that is natural in your language. Paul uses the passive form here to focus on those who are **released** rather than focusing on the person doing the “releasing.” If you must state who does the action, Paul implies that either **you** or a “judge” does it. Alternate translation: “Do not seek to break up. Do you have no woman” or “Do not seek for a judge to release you. Has a judge released you from a woman”
7:36	t87y			he is acting improperly toward		0	This verse has two primary interpretations: (1) the fiancé interpretation, which suggests that the verse is about a man who is engaged to marry a woman. In this case, Paul is saying that the man should marry his fiancée if he thinks he is acting improperly and if she is of a certain age. (2) the father interpretation, which suggests that the verse is about a father who has a daughter. In this case, Paul is saying that the father should allow his daughter to get married if he thinks he is acting improperly and if the daughter is of a certain age. In the notes that follow, we will identify which choices match with which of these two major options.
7:37	ta66			But if he is standing firm in his heart		0	Much like the previous verse ([7:36](../07/36.md)), this verse has two primary interpretations: (1) the fiancé interpretation, which suggests that the verse is about a man who is engaged to marry a woman. In this case, Paul is saying that the man who decides not to marry his fiancée does **well**. (2) the father interpretation, which suggests that the verse is about a father who has a daughter. In this case, Paul is saying that the father who decides to keep his daughter from marrying does **well**. In the notes that follow, I will identify any choices that specifically match with these two major options. Follow the interpretation that you chose in the last verse.
11:3	scbp		rc://*/ta/man/translate/figs-genericnoun	κεφαλὴ & γυναικὸς ὁ ἀνήρ		2	Paul is speaking of “men” and “women” in general, not of one particular **man** and **woman**. If it would be helpful in your language, you could express this form with a form that refers to people in general. Alternate translation: “each man is the head of his woman” or “each man is the head of each woman”
12:13	r9hm			εἴτε & δοῦλοι, εἴτε ἐλεύθεροι		3	Alternate translation: “whether slaves or freedmen”
