Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
1:3	zdh3			Connecting Statement:		0	# Connecting Statement:\n\nPaul opens his letter by talking about the believers’ position and their safety before God.
1:15	d9qy			Connecting Statement:		0	# Connecting Statement:\n\nPaul prays for the Ephesian believers and praises God for the power that believers have through Christ.
2:1	xf5s			Connecting Statement:		0	# Connecting Statement:\n\nPaul reminds the believers of their past and the way they now are before God.
2:11	diq1			Connecting Statement:		0	# Connecting Statement:\n\nPaul reminds these believers that God has now made Gentiles and Jews into one body through Christ and his cross.
2:17	vhi8			Connecting Statement:		0	# Connecting Statement:\n\nPaul tells the Ephesians that Gentile believers are also now just as much a part of God’s people as are Jewish believers. The Jewish apostles and prophets are theirs, as is Christ, and they all form a temple for God in the Spirit.
3:1	w896			Connecting Statement:		0	# Connecting Statement:\n\nTo make clear the hidden truth about the church to believers, Paul refers back to the oneness of Jews and Gentiles and how believers from both groups form part of the one group that worships God, like the stones that form one temple.
3:12	qfn9			Connecting Statement:		0	# Connecting Statement:\n\nIn the next section, Paul praises God in his sufferings and prays for these Ephesian believers.
3:17	n87p			Connecting Statement:		0	# Connecting Statement:\n\nPaul continues the prayer he began in [Ephesians 3:14](../03/14.md).
3:20	m7gi			Connecting Statement:		0	# Connecting Statement:\n\nPaul concludes his prayer with a blessing.
4:1	sb64			Connecting Statement:		0	# Connecting Statement:\n\nBecause of what Paul has been writing to the Ephesians, he tells them how they should live their lives as believers and again emphasizes that believers are to agree with each other.
4:7	i4za			Connecting Statement:		0	# Connecting Statement:\n\nPaul reminds believers of the gifts that Christ gives believers to use in the church, which is the whole body of believers.
4:17	n5cy			Connecting Statement:		0	# Connecting Statement:\n\nPaul tells them what they should no longer do now that they, as believers, are sealed by the Holy Spirit of God.
4:31	b72p			Connecting Statement:		0	# Connecting Statement:\n\nPaul finishes his instructions on what believers should not do and ends with what they must do.
5:1	wus5			Connecting Statement:		0	# Connecting Statement:\n\nPaul continues to tell the believers how they should and should not live as God’s children.
5:18	tz9e			Connecting Statement:		0	# Connecting Statement:\n\nPaul ends his instructions on how all believers should live.
5:22	isd7			Connecting Statement:		0	# Connecting Statement:\n\nPaul begins to explain how Christians are to submit themselves to one another ([Ephesians 5:21](../05/21.md)). He starts with instructions to wives and husbands on how they should act toward each other.
6:1	jf17			Connecting Statement:		0	# Connecting Statement:\n\nPaul continues to explain how Christians are to submit themselves to each other. He gives instructions to children, fathers, workers, and masters.
6:10	t5th			Connecting Statement:		0	# Connecting Statement:\n\nPaul gives instructions to make believers strong in this battle we are in for God.
6:19	rm1h			Connecting Statement:		0	# Connecting Statement:\n\nIn closing this letter, Paul asks his readers to pray for his boldness in telling the gospel while he is in prison and he says that he is sending Tychicus to comfort them.
6:23	j395			Connecting Statement:		0	# Connecting Statement:\n\nPaul closes his letter to the Ephesian believers with a blessing of peace and grace on all believers who love Christ.
