Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	jp2y				0	# Introduction to 1 Thessalonians\n\n## Part 1: General Introduction\n\n### Outline of the book of 1 Thessalonians\n\n1. Opening and blessing (1:1)\n2. Giving thanks for the Thessalonians (1:2–10)\n      * A prayer of thanks (1:2–5)\n      * The Thessalonians as examples (1:6–10)\n3. The visit with the Thessalonians (2:1–16)\n      * How Paul and his fellow workers behaved (2:1–12)\n      * How the Thessalonians responded (2:13–16\n4. Separation from the Thessalonians (2:17–20)\n5. Timothy’s visit and good news (3:1–10)\n6. A benediction (3:11–13)\n7. Teaching on sexual morality (4:1–8)\n8. Teaching on Christian love (4:9–12)\n9. Teaching on the day of the Lord (4:13–5:11)\n      * Dead believers and the day of the Lord (4:13–18)\n      * The timing of the day of the Lord (5:1–11)\n10. Final Commands (5:11–22)\n11. Closing (5:23–28)\n\n### Who wrote the book of 1 Thessalonians?\n\nThe author identifies himself as Paul the apostle, and he writes that Silvanus and Timothy agree with what he says. In fact, throughout this letter, Paul commonly uses the plural pronouns “we” and “us” to refer to himself, Silvanus, and Timothy. Paul was originally from the city of Tarsus but lived in Jerusalem. He had been known as Saul in his early life. Before becoming a Christian, Paul was a Pharisee, and he persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire, telling people about Jesus. Paul first visited the Thessalonians during his second time traveling around the Roman Empire (see [Acts 17:1–10](../act/17/01.md)). When people started persecuting the Christians in Thessalonica, Paul went to a city named Berea. Then he traveled to Athens and then to Corinth, where Timothy met him after visiting the Thessalonians (see [Acts 17:10–18:5](../act/17/10.md)). When Timothy told Paul how the Thessalonians were doing, Paul wrote this letter to them in response.\n\n### What is the book of 1 Thessalonians about?\n\nPaul wrote 1 Thessalonians to make his relationship with the Thessalonians stronger and to teach them more about the gospel. He needed to do both of these things because, after he preached the gospel to the Thessalonians, persecution forced him to leave after only a few weeks.\n\nFirst, Paul wants the Thessalonians to know how much he was concerned about them and how joyful and thankful he was when he learned from Timothy that they were doing well. To accomplish this goal, he reminds the Thessalonians of how he and his fellow workers acted, he reminds the Thessalonians of how they responded, and he tells them how happy he is about the good news that Timothy brought. He tells them all these things to make his relationship with them stronger.\n\nAfter accomplishing this goal, he moves on to his second goal, which is to teach them more things about the gospel. It is possible that he was not able to teach some of these topics before he had to leave them. The primary topic he addresses is related to the day of Lord, the time in the future when Jesus will come back to this world. He also teaches them about sexual morality, loving fellow believers, the Holy Spirit, prophecies, and several other topics.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “First Thessalonians” or “1 Thessalonians.” Or they may choose a different title, such as “Paul’s First Letter to the Church in Thessalonica” or “A First Letter to the Christians in Thessalonica.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the city of Thessalonica like?\n\nThe city of Thessalonica was an important city in the province of Macedonia, which is in the northern part of what we now call Greece. Thessalonica was important because it had a harbor and major roads going through the city and because it was the capital of the province. Because it was an important city, there were people from many cultures and religions there, including Jews. Most people in the city worshiped many gods, including the emperors of Rome.\n\n### The “day of the Lord” and the “coming of the Lord”\n\nThe phrase “the day of the Lord” refers to the specific time in the future when Jesus will return to this world. Paul calls this event “the coming of the Lord.” Christians believe that, when Jesus comes back, God will resurrect all people, and Jesus will judge everyone, punish unbelievers, and reward believers. In this letter, Paul teaches the Thessalonians about what will happen to believers who have died before this “day” (see [4:13–18](../04/13.md)). He also teaches the Thessalonians about how to expect and prepare for this “day” (see [5:1–11](../05/01.md)).\n\n### Why were the Thessalonians concerned about believers who had died?\n\nIt is possible that Paul had to leave the Thessalonians before he finished teaching about what will happen when Jesus comes back. It is also possible that the Thessalonians thought that Jesus would come back before any believers died. We cannot be sure about the reason why they were concerned, but it is clear that they were afraid that believers who had died would not experience all the amazing and good things that will happen when Jesus comes back. Paul reassures them that believers who have died will live again and meet Jesus before anyone who is still alive meets him. Because of that, the Thessalonians do not need to be concerned about believers who have died.\n\n## Part 3: Important Translation Issues\n\n### What did Paul mean by the expressions like “in Christ,” “in the Lord,” etc.?\n\nPaul frequently uses the spatial metaphor “in Christ” (often with another name for Christ, such as Lord or Jesus) in this letter. This metaphor emphasizes that believers are as closely united to Christ as if they were inside him. Paul believes that this is true for all believers, and sometimes he uses “in Christ” simply to identify that what he is speaking about is true for those who believe in Jesus. Other times, he emphasizes union with Christ as the means or the basis for some statement or exhortation. See the notes on specific verses for help in understanding the contextual meaning of “in Christ” and related phrases. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### What did Paul mean by the word “brothers”?\n\nPaul often uses the term “brothers” to mean people who share the same faith. Although this term is masculine, Paul uses the word in a generic sense that includes both men and women. If you decide to retain this figurative usage in your translation, you could state “brothers and sisters” to indicate that the word has this generic sense. (See: [[rc://*/ta/man/translate/figs-gendernotations]])\n\n### “We” and “you”\n\nIn this letter, unless a note specifies otherwise, the words “we,” “us,” and “our” always refer to Paul and his fellow workers, particularly Silvanus and Timothy, and do not include the Thessalonians. Also, in this letter, the words “you” and “your” are always plural. (See: [[rc://*/ta/man/translate/figs-exclusive]] and [[rc://*/ta/man/translate/figs-yousingular]])\n\n### What are the major issues in the text of the book of 1 Thessalonians?\n\nIn the following verses, ancient manuscripts do not all have the same words. The ULT uses the words that are found in most of the earliest manuscripts. When you translate these verses, you should compare the ULT with any translations with which your readers may be familiar to see what your readers may expect. Unless there is a good reason to use the alternate words, you should follow the ULT. See the footnotes and notes at each of these verses for more information. (See: [[rc://*/ta/man/translate/translate-textvariants]])\n\n* “Grace to you and peace” ([1:1](../01/01.md)). Some ancient manuscripts have this: “Grace to you and peace from God our Father and the Lord Jesus Christ.”\n* “little children” ([2:7](../02/07.md)). Some ancient manuscripts have this: “gentle.”\n* “boasting” ([2:19](../02/19.md)). Some ancient manuscripts have this: “great joy.”\n* “a servant of God” ([3:2](../03/02.md)). Some ancient manuscripts have this: “a fellow worker of God.” Other ancient manuscripts have this: “fellow worker.” Other ancient manuscripts have this: “a servant of God and our fellow worker.”\n* “God … God” ([3:9](../03/09.md)). Some ancient manuscripts have this: “Lord … Lord.”\n* “the one giving” ([4:8](../04/08.md)). Some ancient manuscripts have this: “the one having given.”\n* “to you” ([4:8](../04/08.md)). Some ancient manuscripts have this: “to us.”\n* “you have” ([4:9](../04/09.md)). Some ancient manuscripts have this: “we have.”\n* “thieves” as the object of a verb ([5:4](../05/04.md)). Some ancient manuscripts have this: “thief” as the subject of a verb.\n* “Test all things” ([5:21](../05/21.md)). Some ancient manuscripts have this: “But test all things.”\n* “all the brothers” ([5:27](../05/27.md)). Some ancient manuscripts have this: “all the holy brothers.”\n* “with you” ([5:28](../05/28.md)). Some ancient manuscripts have this: “with you. Amen.”
1:intro	y8c5				0	# 1 Thessalonians 1 General Notes\n\n## Structure and Formatting\n\n1. Opening and blessing (1:1)\n2. Giving thanks for the Thessalonians (1:2–10)\n      * A prayer of thanks (1:2–5)\n      * The Thessalonians as examples (1:6–10)\n\nVerse 1 formally introduces this letter. Letters in the ancient Near East commonly had introductions of this type in which the senders identified themselves and the recipient and then gave a greeting.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Trinity\n\nGod the Father, God the Son, and God the Holy Spirit are mentioned numerous times in this chapter. Paul can speak of each of them individually, but he describes them working together as God. Make sure that your translation distinguishes between Father, Son, and Holy Spirit but still identifies them as God.\n\n### Imitators and examples\n\nIn [1:8](../01/08.md), Paul describes how the Thessalonians became “imitators” of the apostles and of Jesus. They became “imitators” when they suffered but still experienced joy from the Holy Spirit. Paul then describes how this behavior made them “examples” for other believers to imitate (see [1:7–8](../01/07.md)). Make sure that your translation indicates that the Thessalonians are imitating the apostles and Christ, which means that other people should imitate them.\n\n### The second coming\n\nIn [1:10](../01/10.md), Paul refers to the “second coming,” a specific day in the future in which Jesus will come back to earth, all dead people will come back to life, the world will be renewed, and God will judge people, punishing those who have sinned but rewarding those who believe in Jesus and obey him. Paul’s focus in this verse is especially on God’s judgment. Consider whether your readers will infer this information from what Paul says in [1:10](../01/10.md) or whether you should include some of this implied information.
1:1	ms5e		rc://*/ta/man/translate/figs-explicit	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος; τῇ ἐκκλησίᾳ	1	Your language may have a particular way of introducing the author of a letter and its intended audience. For example, you may want to indicate that this is a letter. Alternate translation: “I, Paul, along with Silvanus and Timothy, wrote this letter to you, the church”
1:1	zivb		rc://*/ta/man/translate/figs-explicit	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος; τῇ ἐκκλησίᾳ	1	**Paul** is the author of this letter. **Silvanus and Timothy** are with him as he writes and are in agreement with what he writes. If it would be helpful in your language, you could make this idea more explicit. Alternate translation: “I, Paul, together with Silvanus and Timothy, write to the church”
1:1	r7n0		rc://*/ta/man/translate/translate-names	Σιλουανὸς	1	The name **Silvanus** is a longer form of the name **Silas**, the form of the name used for this same man in the book of Acts. You could choose to use the shorter form here as well, or you could choose to use the longer form here and include a footnote explaining that they are forms of the same name.
1:1	z7wu		rc://*/ta/man/translate/figs-metaphor	ἐν Θεῷ Πατρὶ καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1	Here Paul uses the spatial metaphor **in God the Father and the Lord Jesus Christ** to describe the union of believers with **God** and **Christ**. In this case, being **in God** and **Christ**, or united to God and Christ, identifies the Thessalonians as Christians. If it would be helpful in your language, you could use a phrase that indicates that the Thessalonians have a very close relationship with **God** and **Christ**. Alternative translation: “that is united to God the Father and the Lord Jesus Christ” or “in union with God the Father and the Lord Jesus Christ”
1:1	vlb3		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Θεῷ Πατρὶ καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1	When **God** is called **Father**, it highlights his relationship to **Jesus** the “Son” (see [1:10](../01/10.md)). Here, the Old Testament title for **God**, **Lord**, is applied to **Jesus**, equating him with **God**. Be sure to retain these titles in your translation.
1:1	luw5		rc://*/ta/man/translate/translate-blessing	χάρις ὑμῖν καὶ εἰρήνη	1	After stating his name and the people to whom he is writing, Paul adds a blessing. Use a form that people would recognize as a blessing in your language. Alternate translation: “May you experience kindness and peace within you” or “I pray that you will have grace and peace”
1:1	qx70		rc://*/ta/man/translate/figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήνη	1	If your language does not use abstract nouns for the ideas of **Grace** and **peace**, you could express the same ideas in another way. Alternate translation: “I pray that God will be favorable to you and give you a peaceful spirit”
1:1	nn67		rc://*/ta/man/translate/figs-yousingular	ὑμῖν	1	Throughout this letter the word **you** is plural and refers to the Thessalonian believers, unless otherwise noted.
