Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	k2y2				0	# Introduction to Nehemiah\n\n## Part 1: General Introduction\n\n### Outline of Nehemiah\n\n1. Nehemiah returns to Jerusalem and inspects the walls (1:1–2:20)\n2. The people rebuild the walls of Jerusalem (3:1–4:23)\n3. Nehemiah helps the poor and provides an unselfish example (5:1–19)\n4. Enemies try to slow down the work, but the people finish the walls (6:1–19)\n5. Nehemiah lists the people who returned from exile (7:6–73)\n6. Ezra reads the law of Yahweh and the people respond (8:1–10:39)\n7. Nehemiah lists the people who lived in and around Jerusalem (11:1–36)\n8. Nehemiah lists the priests and Levites (12:1–26)\n9. The people dedicate the walls of Jerusalem (12:27–47)\n10. Nehemiah corrects problems (13:1–31)\n\n### What is the Book of Nehemiah about?\n\nA Jew named Nehemiah lived in Persia and worked for King Artaxerxes. Nehemiah received a report that the walls around Jerusalem were broken down. Nehemiah returned to Jerusalem to help rebuild the city walls. The walls around the city helped protect the city against armies and invaders.\n\n### How should the title of this book be translated?\n\nThe Book of Nehemiah is named for a Jewish leader named Nehemiah. Translators can use the traditional title “Nehemiah.” Or they may choose a more complete title, such as “The Book about Nehemiah.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why were Israelites not allowed to marry people from other nations?\n\nForeigners worshiped many false gods. Yahweh did not allow his people to marry foreigners. He knew this would cause the people of Israel to worship false gods. (See: [[rc://*/tw/dict/bible/kt/falsegod]])\n\n### Did all of the people of Israel return to their homeland?\n\nMany of the Jews remained in Babylon instead of returning to the Promised Land. Many of them were successful in Babylon and desired to remain there. However, this meant that they were unable to worship Yahweh in Jerusalem as their ancestors had done. (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n## Part 3: Important Translation Issues\n\n### How does the Book of Nehemiah use the term “Israel”?\n\nThe Book of Nehemiah uses the term “Israel” to refer to the kingdom of Judah. It was mostly made up of the tribes of Judah and Benjamin. The other ten tribes had ended their loyalty to any kings descended from David. God had allowed the Assyrians to conquer the other ten tribes and take them into exile around 275 years earlier. As a result, they mixed with other people groups and did not return to the land of Israel. (See: [[rc://*/tw/dict/bible/kt/israel]])\n\n### Are the events in the Book of Nehemiah told in the order that they actually happened?\n\nSome of the events in the Book of Nehemiah are told in an order that is different than the order in which they actually happened so that they events can be grouped by theme. Translators should pay attention to notes that signal when events are probably out of chronological order.
1:intro	y5jf				0	# Nehemiah 1 General Notes\n\n## Structure and Formatting\n\n### “The words of Nehemiah son of Hacaliah:”\n\nThis phrase serves as an introduction to this entire book.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Repentance\n\nThis chapter is a single long record of Nehemiah’s repentance on behalf of the people of Israel. (See: [[rc://*/tw/dict/bible/kt/repent]])\n\n## Translation Issues in This Chapter\n\n### I\n\nIn this book, the word “I” always refers to Nehemiah.\n\n### Israel\n\nIn this book, “Israel” probably does not refer to the northern kingdom of Israel. Neither does it likely refer to the twelve tribes of Israel. Instead, it is probably a reference to Israel in the sense of the surviving people group from the southern kingdom of Judah. At Nehemiah’s time, these would be the people from the tribes of Judah and Benjamin who survived the destruction of Jerusalem by Babylon in 586 BC and the exile of many of them to Babylon. The other tribes had already been scattered throughout the entire Near East where most of them lost their identity as Israel.
1:1	bi9h		rc://*/ta/man/translate/translate-names	Nehemiah the son of Hakaliah	1	Nehemiah is the name of a man, and Hakaliah is the name of his father.
1:1	abc1		rc://*/ta/man/translate/writing-newevent	And it happened	1	This is a common way of beginning a historical story. Use a natural way of beginning a story about something that actually happened. Alternate translation: “My story begins”
1:1	qd3e		rc://*/ta/man/translate/translate-hebrewmonths	in the month of Kislev	1	**Kislev** is the ninth month of the Hebrew calendar.
1:1	hn28		rc://*/ta/man/translate/figs-explicit	in year 20	1	This is referring to the number of years that Artaxerxes had been reigning as king. You can include this information if you want to make this clear. Most scholars consider this to be the year 445 BC. Alternate translation: “in the twentieth year of the reign of Artaxerxes, King of Persia”
1:1	abc3		rc://*/ta/man/translate/figs-metonymy	in Susa the citadel	1	A **citadel** is a fortified castle or palace, usually inside a city. In this case, the city in which this palace was located was also called Susa, because the city was associated with the palace. Since this was where the kings of Persia lived, it was the capital city of their empire. Alternate translation: “the capital city of Susa”
1:1	abc5		rc://*/ta/man/translate/translate-names	in Susa	1	This was the name of a royal city of the Persian kings.
1:1	g6dl		rc://*/ta/man/translate/translate-unknown	the citadel	1	This means a “castle” or “palace” or “stronghold,” usually inside a city, where a king would live.
1:2	f2ab		rc://*/ta/man/translate/translate-names	Hanani	1	This is the name of a man.
1:2	l6cw			Hanani, one	1	The term **brother** is often used in this book, but here it most likely means that Hanani was Nehemiah’s biological brother.
1:2	abc7		rc://*/ta/man/translate/figs-gendernotations	he and men	1	This was a delegation that had come from one Jewish community to visit another Jewish community in another part of the world. So it’s possible that it included women as well as men. Alternate translation: “along with some other people”
1:2	lg14		rc://*/ta/man/translate/translate-names	from Judah	1	Judah was formerly the southern kingdom of the Israelites. It was now a Persian province. Alternate translation: “the province of Judah”
1:2	abc9		rc://*/ta/man/translate/figs-parallelism	the Jews who escaped, who were left behind from the captivity	1	These two phrases mean the same thing. Nehemiah uses them together for clarity to describe one particular group of people, and perhaps also to express his particular concern for them. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “the Jews who had escaped the exile”
1:2	q7zi		rc://*/ta/man/translate/figs-explicit	the Jews who escaped, who were left behind from the captivity	1	These two phrases refer to the same group of people. This could mean: (1) the few Jews who were taken as exiles to Babylon but who later were able to return and live in Jerusalem or (2) the few Jews who had escaped from those who were trying to take them into exile in Babylon and so remained in Jerusalem. It is probably best to translate this in a way that can include both groups. Alternate translation: “the Jews who had escaped the exile and who remained in Jerusalem”
1:2	ab11		rc://*/ta/man/translate/figs-abstractnouns	the captivity	1	**Captivity** is an abstract noun that refers to the Jews being taken away from their homeland. Judah had been conquered by the Babylonians about 150 years before this. At that time, the Babylonians took many people away from Judah and relocated them to different parts of their empire. About 50 years later, the Persian Empire conquered Babylon and so the Babylonian empire became the Persian empire. The Jews who had been captured by Babylon now lived in Persia, although some had since returned to Judah. You can translate the idea of **captivity** with a phrase such as “the time when the Jews were taken away” or “the time when soldiers forced many Jews to go to Babylon”
1:2	ab13		rc://*/ta/man/translate/figs-explicit	and about Jerusalem	1	Jerusalem had been the capital city of the kingdom of Judah. Nehemiah was asking specifically about the physical condition of the buildings and walls in the city, in addition to asking about the welfare of the Jewish community in Judah. Alternate translation: “about the condition of Jerusalem”
1:3	igf2		rc://*/ta/man/translate/figs-parallelism	The ones left behind, who were left behind from the captivity	1	These two statements mean similar things. Nehemiah says the same thing twice, in slightly different ways, to show his concern for this group. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “the Jews who escaped the exile and remained”
1:3	y1zg		rc://*/ta/man/translate/figs-metonymy	in the province	1	Here **province** refers to Judah as an administrative district within the Persian Empire. Hanani is describing Judah by referring to something associated with it, its status as a province. Alternate translation: “in the province of Judah” or “in Judah”
1:3	ab15		rc://*/ta/man/translate/figs-doublet	are in great evil and in reproach	1	**Difficulty** and **reproach** mean similar things. Hanani uses them together to emphasize what a desperate situation the people are in. You do not need to repeat both words in your translation if that would be confusing for your readers. Alternate translation: “in a perilous situation”
1:3	ab17		rc://*/ta/man/translate/figs-abstractnouns	are in great evil and in reproach	1	The abstract noun **difficulty** refers to a situation that is very hard for the people to live in. It describes a situation that is dangerous and insecure for the people in it. You can translate this idea with an adjective such as “bad.” Alternate translation: “in a very bad situation”
1:3	ab19		rc://*/ta/man/translate/figs-abstractnouns	and in reproach	1	**Reproach** is an abstract noun that describes how other people would see the situation of the Jews. The situation would lead them to say bad things about them. you could translate this idea with a verb such as “mock.” Alternate translation: “and people are mocking them.”
1:3	pk3f		rc://*/ta/man/translate/figs-activepassive	And the wall of Jerusalem is broken down, and its gates have been burned with fire	1	You can say this with an active form, and you can say who did the action. Alternate translation: “armies have broken open the wall of Jerusalem and have set its gates on fire”
1:3	ab21		rc://*/ta/man/translate/figs-explicit	And the wall of Jerusalem is broken down, and its gates have been burned with fire	1	The implication is that the people are now defenseless. If it would be helpful in your language, you could say this explicitly. Alternate translation: “The people living there have no protection.”
1:3	ab23			have been burned with fire	1	If saying that something is burned **with fire** is redundant in your language, you can just say, **completely burned**. Alternate translation: “burned down”
1:4	ab25		rc://*/ta/man/translate/writing-newevent	And it happened that	1	Nehemiah uses this phrase to introduce the next episode in his story. You do not need to represent it this way in your translation, but use a natural way to introduce a new episode in the story. Alternate translation: “So the next thing I did”
1:4	ab27		rc://*/ta/man/translate/figs-metonymy	when I heard these words	1	Here **words** refers to the things that were described by the words. Alternate translation: “after hearing about these things”
1:4	ab29		rc://*/ta/man/translate/translate-symaction	I sat down and wept	1	**Sitting down** likely means that Nehemiah stopped going about his usual business because he was so overcome by grief. Alternate translation: “I could do nothing else but grieve”
1:4	ab31		rc://*/ta/man/translate/figs-idiom	and I mourned for days	1	This means that Nehemiah kept on grieving. He did not get over being upset. The term “days” here suggests “many days” and it is a figurative expression for “a long time.” Alternate translation: “I could not stop mourning for a long time.”
1:4	ab33		rc://*/ta/man/translate/translate-symaction	fasting and praying	1	**Fasting** means going without food. This was something that Jews often did in connection with prayer. It allowed them to concentrate on their prayers, and it showed how important those prayers were. Alternate translation: “I went without food, and I prayed”
1:4	ab35		rc://*/ta/man/translate/figs-metonymy	and praying before the face of	1	Here **face** is a metonym for the action of seeing, which is a figurative way of referring to a person’s notice or attention to something. Nehemiah is saying that he prayed in order to bring these matters to God’s notice or attention. Alternate translation: “and I prayed to”
1:4	ab37			the God of heaven	1	Alternate translation: “God, who is in heaven”
1:5	ab39			And I said	1	Here Nehemiah tells what he prayed. Alternate translation: “Then I prayed”
1:5	ab41		rc://*/ta/man/translate/figs-exclamations	Ah	1	Nehemiah uses this word to call on God with strong feeling. Alternate translation: “O”
1:5	pf2l		rc://*/ta/man/translate/translate-names	Yahweh	1	This is the name of God that he revealed to his people in the Old Testament.
1:5	ab43		rc://*/ta/man/translate/figs-you	the God of heaven	1	Since Nehemiah is addressing God directly, you can use “you” forms in your translation if that is natural. They should be singular but also respectful. Alternate translation: “you are the God who is in heaven”
1:5	ab45		rc://*/ta/man/translate/figs-doublet	the great and fearsome God	1	**Great** and **fearsome** mean similar things. Nehemiah uses them together to emphasize how much respect God deserves. You do not need to repeat both phrases in your translation if that would be confusing for your readers. However, there is a slight difference in meaning, and you could also bring that out in your translation. “Great” refers to how powerful God is objectively. “Fearsome” reflects how people should respond to God’s greatness subjectively. They should “fear” God. This does not mean that they should be afraid of him, but that they should show him respect and reverence. Alternate translation: “the great and awesome God” or “the God who deserves total respect”
1:5	ab47		rc://*/ta/man/translate/figs-parallelism	who keeps the covenant and covenant faithfulness	1	**Covenant** and **covenant faithfulness** mean similar things. Nehemiah says the same thing twice, in slightly different ways, to emphasize how certain it is that God will keep his promises. You do not need to repeat both phrases in your translation if that would be confusing for your readers. However, there is a slight difference in meaning, and you could bring that out in your translation even if you combine the phrases. The “covenant” is God’s promise to Abraham, Isaac, and Jacob and their descendants. “Covenant faithfulness” is a character quality of God. He is inwardly disposed to keep all of his promises, and so he always does so faithfully. Therefore, you could say something like, “Because of who you are, you always keep your promises faithfully.”
1:5	ab49		rc://*/ta/man/translate/figs-parallelism	to those who love him and to those who keep his commandments	1	Nehemiah is not describing two different groups. These phrases mean similar things. The repetition is used for clarity and emphasis. Nehemiah says the same thing twice, in slightly different ways, to express that those who love God show this by keeping his commandments. You can translate this so that it is clear that these words describe one group. Alternate translation: “those who love you and keep your commandments”
1:5	zc64		rc://*/ta/man/translate/figs-123person	to those who love him and to those who keep his commandments	1	Since Nehemiah is speaking to Yahweh, the pronouns “him” and “his” can be translated as “you” and “your.” Alternate translation: “who love you and keep your commandments”
1:6	ab51		rc://*/ta/man/translate/figs-parallelism	Please let your ear be attentive and your eyes opened	1	These two phrases mean similar things. Nehemiah says the same thing twice, in slightly different ways, to urge God to pay attention to him. If it would be helpful in your language, you could combine these phrases. Alternate translation: “pay attention to me,” otherwise “please listen to me and look at me.”
1:6	ab53		rc://*/ta/man/translate/figs-metonymy	your ear & attentive	1	This request for God’s ear to be attentive refers to the action of listening. In this context, Nehemiah is asking God to listen to his prayer, with the intention that God would do something about the bad situation in Jerusalem.
1:6	g947		rc://*/ta/man/translate/figs-metonymy	and your eyes opened	1	This request for God’s eyes to be open refers to the action of seeing. Seeing is a metaphor meaning knowledge, perception, notice, attention, or judgment. In this case, Nehemiah is asking God to pay attention both to him and to the problem in Jerusalem.
1:6	qjf3		rc://*/ta/man/translate/figs-123person	the prayer of your servant	1	Nehemiah uses the word servant to refer to himself. This is how a person would address a superior in order to show humility and respect. Alternate translation: “my prayer”
